"client_id","client_name","status","phase","owner","primary_contact","email","phone","start_date","monthly_value","lifetime_value","next_action","next_action_date","risk_level","last_activity","source_folder"
"CLIENT-JIFRAMEXTRUSIONS","Jifram Extrusions","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Jifram Extrusions"
"CLIENT-KEBROSASSOCIATES","Kebros & Associates","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Kebros & Associates"
"CLIENT-KTLCOMMUNICATIONS","KTL Communications","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\KTL Communications"
"CLIENT-LOGISOFTTECH","Logisoft Tech","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Logisoft Tech"
"CLIENT-MECHCO","Mechco","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Mechco"
"CLIENT-MELLINGMEDICAL","Melling Medical","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Melling Medical"
"CLIENT-MEREDITHWORX","Meredith Worx","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Meredith Worx"
"CLIENT-MOHAWKLIFTS","Mohawk Lifts","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Mohawk Lifts"
"CLIENT-PARRISHPARTNERS","Parrish Partners","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Parrish Partners"
"CLIENT-RIVERCITYENTERPRISES","River city Enterprises","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\River city Enterprises"
"CLIENT-ROSINTIT","Rosint IT","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Rosint IT"
"CLIENT-SENVOICE","Senvoice","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Senvoice"
"CLIENT-STRONGWATCH","StrongWatch","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\StrongWatch"
"CLIENT-TELEBRIGHTSOFTWARE","Telebright Software","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Telebright Software"
"CLIENT-TPSS21","TPSS 21","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\TPSS 21"
"CLIENT-USGUIDEDTOURS","US Guided Tours","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\US Guided Tours"
"CLIENT-VEGAMANAGEMENTCONSULTINGLLC","Vega Management consulting LLC","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Vega Management consulting LLC"
