"RelativePath","SizeBytes","ModifiedUtc","Category"
"SERVICES\WorkerBootstrap.js","1299","2026-07-09T18:39:38.0000000Z","Worker"
"SERVICES\ExecutiveMissionRouter.js","2193","2026-07-09T18:47:32.0000000Z","BusinessDomain"
"SERVICES\MissionSupervisor.js","1693","2026-07-09T19:05:48.0000000Z","BusinessDomain"
"SERVICES\ResolutionMemoryService.js","1518","2026-07-09T19:59:18.0000000Z","Intelligence"
"SERVICES\ExecutiveEnvironmentService.js","935","2026-07-09T22:21:40.0000000Z","BusinessDomain"
"SERVICES\WorkerSelector.js","1112","2026-07-09T22:30:08.0000000Z","Worker"
"SERVICES\WorkerContract.js","1120","2026-07-09T22:32:26.0000000Z","Worker"
"SERVICES\BusinessWorker.js","1289","2026-07-09T22:34:02.0000000Z","Worker"
"SERVICES\RuntimeActivationAuditService.js","3443","2026-07-09T22:39:38.0000000Z","Runtime"
"SERVICES\InstantlyCampaignInventoryService.js","4749","2026-07-09T23:37:12.0000000Z","BusinessDomain"
"SERVICES\InstantlyExecutiveAdvisor.js","4647","2026-07-09T23:50:04.0000000Z","BusinessDomain"
"SERVICES\RuntimeConsolidationAuditService.js","5984","2026-07-10T00:34:30.0000000Z","Runtime"
"SERVICES\EnterpriseRuntimeManager.js","4587","2026-07-10T00:37:08.0000000Z","Runtime"
"SERVICES\CommandIntentPlannerService.js.bak_20260709_231150","11231","2026-07-07T15:33:40.0000000Z","Planner"
"SERVICES\Browser\Workers\InstantlyCampaignOperator.js","12985","2026-07-02T20:34:18.0000000Z","BusinessDomain"
"SERVICES\connector_runtime\ConnectorRuntime.js","13756","2026-07-06T01:18:42.0000000Z","Connector"
"SERVICES\connector_runtime\ConnectorRuntimeManager.js","6733","2026-07-06T03:11:34.0000000Z","Connector"
"SERVICES\Decision\ApprovalEngine.js","634","2026-07-01T17:35:14.0000000Z","Governance"
"SERVICES\Decision\DecisionEngine.js","1112","2026-07-01T17:35:38.0000000Z","Governance"
"SERVICES\decision_engine\AutonomousDecisionEngine.js","20123","2026-07-06T01:35:14.0000000Z","Governance"
"SERVICES\decision_engine\AutonomousDecisionEngineManager.js","8914","2026-07-06T01:36:46.0000000Z","Governance"
"SERVICES\digital_coo\DigitalCOORuntime.js","23131","2026-07-10T03:00:26.0000000Z","Runtime"
"SERVICES\digital_coo\DigitalCOORuntimeManager.js","16703","2026-07-06T01:31:30.0000000Z","Runtime"
"SERVICES\digital_coo\MarketingCOOService.js","5230","2026-07-08T21:00:06.0000000Z","BusinessDomain"
"SERVICES\digital_coo\MilesCommandCenter.js","15123","2026-07-07T16:14:38.0000000Z","BusinessDomain"
"SERVICES\digital_coo\MilesCommandCenter.js.bak_20260707_121436","15103","2026-07-07T00:19:52.0000000Z","BusinessDomain"
"SERVICES\Discovery\MarketingDiscovery.js","1782","2026-07-01T18:27:02.0000000Z","BusinessDomain"
"SERVICES\Discovery\OrionDiscovery.js","1625","2026-07-01T18:27:38.0000000Z","BusinessDomain"
"SERVICES\Executive\CEOApprovalQueue.js","4166","2026-07-01T19:22:24.0000000Z","Governance"
"SERVICES\Learning\DecisionHistory.js","945","2026-07-01T18:09:30.0000000Z","Governance"
"SERVICES\Learning\LearningEngine.js","1317","2026-07-01T18:05:48.0000000Z","Intelligence"
"SERVICES\learning_engine\LearningEngine.js","11514","2026-07-06T01:25:02.0000000Z","Intelligence"
"SERVICES\learning_engine\LearningEngineManager.js","10285","2026-07-06T01:26:44.0000000Z","Intelligence"
"SERVICES\Memory\OperationalMemoryService.js","2464","2026-07-01T17:58:34.0000000Z","Intelligence"
"SERVICES\Planning\BasePlanner.js","1291","2026-07-01T17:08:04.0000000Z","Planner"
"SERVICES\Planning\ExecutivePlanner.js","2320","2026-07-01T17:10:00.0000000Z","Planner"
"SERVICES\Planning\MarketingPlanner.js","3313","2026-07-01T17:08:50.0000000Z","Planner"
"SERVICES\Planning\OrionPlanner.js","6723","2026-07-02T01:27:50.0000000Z","Planner"
"SERVICES\Planning\PlannerRegistry.js","916","2026-07-01T17:10:34.0000000Z","Planner"
"SERVICES\runtime\digital_coo_autonomy_supervisor.ps1","14795","2026-07-06T02:24:48.0000000Z","BusinessDomain"
"SERVICES\Supervisor\ExecutiveSupervisor.js","699","2026-07-01T18:39:40.0000000Z","BusinessDomain"
"SERVICES\workers\BaseCOOWorker.js","11956","2026-07-06T01:54:30.0000000Z","Worker"
"SERVICES\workers\GoogleWorkspaceCOOWorker.js","26977","2026-07-06T02:06:20.0000000Z","Worker"
"SERVICES\workers\InstantlyCOOWorker.js","29047","2026-07-06T01:59:44.0000000Z","Worker"
"SERVICES\workers\NamecheapCOOWorker.js","26062","2026-07-06T02:08:44.0000000Z","Worker"
"SERVICES\workers\WebsiteCOOWorker.js","25466","2026-07-06T01:56:50.0000000Z","Worker"
"SERVICES\worker_runtime\AutonomousWorkerScheduler.js","19457","2026-07-06T01:49:10.0000000Z","Worker"
"SERVICES\worker_runtime\BaseAutonomousWorker.js","16579","2026-07-06T01:46:04.0000000Z","Worker"
"SERVICES\worker_runtime\TaskExecutionWorker.js","13121","2026-07-10T03:29:16.0000000Z","Worker"
"SERVICES\worker_runtime\WorkerDispatcher.js","6462","2026-07-06T03:06:56.0000000Z","Worker"
"SERVICES\worker_runtime\WorkerRegistry.js","7539","2026-07-06T03:02:40.0000000Z","Worker"
"SERVICES\worker_runtime\WorkerRuntime.js","8183","2026-07-08T20:26:00.0000000Z","Worker"
"SERVICES\worker_runtime\WorkerRuntimeManager.js","6497","2026-07-06T01:15:02.0000000Z","Worker"
"SERVICES\worker_runtime\TaskExecutionWorker.js.backup_20260709","8238","2026-07-09T23:07:34.0000000Z","Worker"
"SERVICES\WORKER_ADAPTERS\AtlasWorkerAdapter.js","461","2026-07-09T16:45:22.0000000Z","Worker"
"PROVIDERS\InstantlyProvider.js","1836","2026-07-09T00:27:48.0000000Z","BusinessDomain"
"PROVIDERS\providers\InstantlyProvider.js","3889","2026-07-08T18:21:02.0000000Z","BusinessDomain"
"PROVIDERS\providers\MarketingProvider.js","3772","2026-06-30T23:21:32.0000000Z","BusinessDomain"
"PROVIDERS\providers\OrionProvider.js","4575","2026-07-03T20:45:58.0000000Z","BusinessDomain"
"PROVIDERS\providers\WebsiteProvider.js","1845","2026-07-08T18:20:22.0000000Z","BusinessDomain"
"CONNECTORS\GOOGLE\miles_google_account_manager_dropin\miles_google_accounts_health.js","939","2026-06-29T04:48:18.0000000Z","Observability"
"CONNECTORS\GOOGLE\miles_google_connector_pack\miles_google_connector_pack\CONNECTORS\GOOGLE\health.js","1315","2026-06-29T04:04:50.0000000Z","Observability"
"CONNECTORS\GOOGLE\miles_google_connector_pack\miles_google_connector_pack\scripts\install_google_connector.ps1","460","2026-06-29T04:04:50.0000000Z","Connector"
"CONNECTORS\INSTANTLY\connector.js","1481","2026-07-10T03:32:22.0000000Z","Connector"
"CONNECTORS\INSTANTLY\instantly.js","1101","2026-06-30T23:17:12.0000000Z","BusinessDomain"
"CONNECTORS\INSTANTLY\instantly_test.js","413","2026-06-30T23:18:32.0000000Z","BusinessDomain"
"CONNECTORS\INSTANTLY\miles_instantly_connector\miles_os\dashboard\instantly_panel.py","760","2026-06-29T02:12:02.0000000Z","BusinessDomain"
"CONNECTORS\INSTANTLY\miles_instantly_connector\tests\test_instantly_service.py","1449","2026-06-29T02:12:02.0000000Z","BusinessDomain"
"CONNECTORS\MILES\connector.js","582","2026-07-10T17:34:36.0000000Z","Connector"
"CONNECTORS\ORION\connector.js","8311","2026-07-06T23:19:10.0000000Z","Connector"
"CONNECTORS\Real\crmClient.js","451","2026-07-03T02:15:00.0000000Z","BusinessDomain"
"CONNECTORS\Real\instantlyClient.js","458","2026-07-03T02:14:30.0000000Z","BusinessDomain"
"CONNECTORS\WEBSITE\website.js","2812","2026-07-02T19:47:54.0000000Z","BusinessDomain"
"CONNECTORS\WEBSITE_B12\B12_CONNECTOR_V1.ps1","764","2026-06-28T19:18:48.0000000Z","Connector"
"WORKERS\atlasWorker.js","784","2026-07-03T21:25:18.0000000Z","Worker"
"WORKERS\commandWorker.js","656","2026-07-03T21:40:28.0000000Z","Worker"
"WORKERS\cooWorker.js","1029","2026-07-10T17:07:40.0000000Z","Worker"
"WORKERS\dealWorker.js","363","2026-07-03T02:17:32.0000000Z","Worker"
"WORKERS\dispatcherWorker.js","766","2026-07-03T21:53:32.0000000Z","Worker"
"WORKERS\replyWorker.js","341","2026-07-03T02:17:04.0000000Z","Worker"
"WORKERS\revenueWorker.js","562","2026-07-03T22:27:00.0000000Z","Worker"
"API\API\memory.routes.js","627","2026-06-29T18:43:06.0000000Z","Intelligence"
"AUTOMATIONS\Scheduler.js","0","2026-06-29T18:43:06.0000000Z","Scheduler"
"DATA\ceo_approvals.json","2023","2026-06-30T21:07:46.0000000Z","Governance"
"DATA\executive_state.json","66495","2026-07-10T18:42:00.0000000Z","BusinessDomain"
"DATA\browser\operator_memory.json","225","2026-07-04T23:49:48.0000000Z","Intelligence"
"DATA\browser\operator_results\instantly_coo_mode_1782943962943.json","316","2026-07-01T22:12:44.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_clean_1782944188054.json","2761","2026-07-01T22:16:30.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_clean_1782950757621.json","1979","2026-07-02T00:05:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782951027558.json","19104","2026-07-02T00:10:28.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782953096757.json","19639","2026-07-02T00:44:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956184188.json","19639","2026-07-02T01:36:26.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956195098.json","19639","2026-07-02T01:36:36.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956205964.json","19639","2026-07-02T01:36:46.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956216946.json","19639","2026-07-02T01:36:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956288989.json","19639","2026-07-02T01:38:10.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956299989.json","19639","2026-07-02T01:38:20.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956310928.json","19639","2026-07-02T01:38:32.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956322162.json","19639","2026-07-02T01:38:44.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956358870.json","19639","2026-07-02T01:39:20.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956369815.json","19639","2026-07-02T01:39:30.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956380763.json","19639","2026-07-02T01:39:42.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956391824.json","19639","2026-07-02T01:39:52.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956703646.json","19639","2026-07-02T01:45:04.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956714627.json","19639","2026-07-02T01:45:16.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956726518.json","19639","2026-07-02T01:45:28.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782956737728.json","19639","2026-07-02T01:45:38.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957049893.json","19639","2026-07-02T01:50:50.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957061026.json","19639","2026-07-02T01:51:02.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957072101.json","19639","2026-07-02T01:51:14.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957083428.json","19639","2026-07-02T01:51:24.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957406365.json","19639","2026-07-02T01:56:48.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957417538.json","19639","2026-07-02T01:56:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957428382.json","19639","2026-07-02T01:57:10.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957440071.json","19639","2026-07-02T01:57:22.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957760440.json","19639","2026-07-02T02:02:42.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957771334.json","19639","2026-07-02T02:02:52.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957782364.json","19639","2026-07-02T02:03:04.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1782957793581.json","19639","2026-07-02T02:03:14.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009560175.json","19639","2026-07-02T16:26:02.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009571189.json","19639","2026-07-02T16:26:12.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009581958.json","19639","2026-07-02T16:26:22.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009593015.json","19639","2026-07-02T16:26:34.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009914681.json","19639","2026-07-02T16:31:56.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009925718.json","19639","2026-07-02T16:32:06.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009936629.json","19639","2026-07-02T16:32:18.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783009947935.json","19639","2026-07-02T16:32:28.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010260263.json","19639","2026-07-02T16:37:42.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010271213.json","19639","2026-07-02T16:37:52.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010282442.json","19639","2026-07-02T16:38:04.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010293553.json","19639","2026-07-02T16:38:14.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010615289.json","19639","2026-07-02T16:43:36.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010626366.json","19639","2026-07-02T16:43:48.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010637484.json","19639","2026-07-02T16:43:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010648739.json","19639","2026-07-02T16:44:10.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010972016.json","19639","2026-07-02T16:49:34.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010982983.json","19639","2026-07-02T16:49:44.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783010993722.json","19639","2026-07-02T16:49:54.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011005019.json","19639","2026-07-02T16:50:06.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011317267.json","19639","2026-07-02T16:55:18.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011328275.json","19639","2026-07-02T16:55:30.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011339286.json","19639","2026-07-02T16:55:40.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011350725.json","19639","2026-07-02T16:55:52.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011403823.json","19639","2026-07-02T16:56:44.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011513035.json","19639","2026-07-02T16:58:34.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011662958.json","19639","2026-07-02T17:01:04.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011674109.json","19639","2026-07-02T17:01:16.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011685463.json","19639","2026-07-02T17:01:26.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783011696810.json","19639","2026-07-02T17:01:38.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012009436.json","19639","2026-07-02T17:06:50.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012020314.json","19639","2026-07-02T17:07:02.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012031672.json","19639","2026-07-02T17:07:12.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012042890.json","19639","2026-07-02T17:07:24.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012355471.json","19639","2026-07-02T17:12:36.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012366722.json","19639","2026-07-02T17:12:48.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012377818.json","19639","2026-07-02T17:12:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012389404.json","19639","2026-07-02T17:13:10.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012701735.json","19639","2026-07-02T17:18:22.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012712884.json","19639","2026-07-02T17:18:34.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012724583.json","19639","2026-07-02T17:18:46.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783012736086.json","19639","2026-07-02T17:18:58.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013048388.json","19639","2026-07-02T17:24:10.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013059571.json","19639","2026-07-02T17:24:20.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013070719.json","19639","2026-07-02T17:24:32.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013082232.json","19639","2026-07-02T17:24:44.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013394642.json","19639","2026-07-02T17:29:56.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013405760.json","19639","2026-07-02T17:30:06.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013416940.json","19639","2026-07-02T17:30:18.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013428597.json","19639","2026-07-02T17:30:30.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013740987.json","19639","2026-07-02T17:35:42.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013752437.json","19639","2026-07-02T17:35:54.0000000Z","BusinessDomain"
"DATA\browser\operator_results\instantly_coo_mode_live_1783013763659.json","19639","2026-07-02T17:36:04.0000000Z","BusinessDomain"
